id,buildingType,faction,tierLevel,maxHp,ambroisieCost,faithCost,constructionTime,productionSpeed,towerDamage,towerAttackSpeed,towerRange,populationProvided,technologiesUnlocked,visionRange
Baliste,DefenseTower,Zeus,2,400,250,250,20,0,15,2,8,0,0,3
Canon à braise,DefenseTower,Hades,2,400,250,250,20,0,15,2,8,0,0,3
Flûte a pluie,DefenseTower,Poseidon,2,400,250,250,20,0,15,2,8,0,0,3
Forum aquatique,HQ,Poseidon,1,1000,600,500,20,15,0,0,0,0,0,3
Gouffre du Tartare,HQ,Hades,1,1000,600,500,20,15,10,2,8,0,0,3
Temple de Zeus,HQ,Zeus,1,1000,600,500,20,15,0,0,0,0,0,3
Amphithéâtre,PopulationBuilding,Zeus,1,300,0,100,10,0,0,0,0,5,0,3
Baraque,PopulationBuilding,Hades,1,300,0,100,10,0,0,0,0,5,0,3
Thermes,PopulationBuilding,Poseidon,1,300,0,100,10,0,0,0,0,5,0,3
Camp Olympique,Producer,Zeus,1,500,150,125,12,15,0,0,0,0,0,3
Camp Spartiate,Producer,Hades,1,500,150,125,12,10,0,0,0,0,0,3
Colisée d’Atlantide,Producer,Poseidon,1,500,150,125,12,15,0,0,0,0,0,3
Cascade,Producer,Poseidon,2,625,250,200,24,15,0,0,0,0,0,3
prytanée,Producer,Zeus,2,625,250,200,24,15,0,0,0,0,0,3
Puit d’invocation,Producer,Hades,2,625,250,200,24,10,0,0,0,0,0,3
Autel de la sagesse,Producer,Zeus,3,750,325,250,36,20,0,0,0,0,0,3
Fosse sous marine,Producer,Poseidon,3,750,325,250,36,20,0,0,0,0,0,3
Portail vers les champ Élysées,Producer,Hades,3,750,325,250,36,15,0,0,0,0,0,3
Bibliothèque d’Alexandrie,ResearchBuilding,Hades,2,500,350,300,25,0,0,0,0,0,productionSpeed_2|attackDamage_1.25,3
Centre d’étude Atlan,ResearchBuilding,Poseidon,2,500,350,300,25,0,0,0,0,0,productionSpeed_2|attackDamage_1.25,3
École des Pythagoricien,ResearchBuilding,Zeus,2,500,350,300,25,0,0,0,0,0,productionSpeed_2|attackDamage_1.25,3
